Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Preprocs,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Simple8B,240028,1487.38,ucr,2803.85,None,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,-1,5,8,f,995480,24.11
SIMDBP128,1692912,7531.87,ucr,11828.47,None,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,-1,5,8,f,6721328,25.19
FastPFOR,1652708,1565.6,ucr,12210.72,None,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,-1,5,8,f,6721328,24.59
Simple8B,1804724,2752.63,ucr,7119.76,None,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,-1,5,8,f,6721328,26.85
SIMDBP128,16436,9459.14,ucr,15278.78,None,/colmajor/uint8-as-uint32/ucr/Coffee.dat,-1,5,8,f,65164,25.22
FastPFOR,16540,1829.73,ucr,14113.93,None,/colmajor/uint8-as-uint32/ucr/Coffee.dat,-1,5,8,f,65164,25.38
Simple8B,17044,1970.78,ucr,4815.19,None,/colmajor/uint8-as-uint32/ucr/Coffee.dat,-1,5,8,f,65164,26.16
SIMDBP128,57720,6006.5,ucr,14056.82,None,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,-1,5,8,f,231052,24.98
FastPFOR,57812,1456.21,ucr,10589.0,None,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,-1,5,8,f,231052,25.02
Simple8B,59484,1954.71,ucr,5368.43,None,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,-1,5,8,f,231052,25.74
SIMDBP128,511892,7969.34,ucr,8930.25,None,/colmajor/uint8-as-uint32/ucr/Haptics.dat,-1,5,8,f,2031624,25.2
FastPFOR,512012,1416.75,ucr,15126.38,None,/colmajor/uint8-as-uint32/ucr/Haptics.dat,-1,5,8,f,2031624,25.2
Simple8B,580468,2874.73,ucr,6327.02,None,/colmajor/uint8-as-uint32/ucr/Haptics.dat,-1,5,8,f,2031624,28.57
SIMDBP128,8461120,8271.52,ucr,12950.34,None,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,-1,5,8,f,38015356,22.26
FastPFOR,8656128,1898.31,ucr,12629.61,None,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,-1,5,8,f,38015356,22.77
Simple8B,9083340,3576.47,ucr,10673.48,None,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,-1,5,8,f,38015356,23.89
SIMDBP128,448068,6912.91,ucr,14601.98,None,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,-1,5,8,f,2174980,20.6
FastPFOR,453428,1389.63,ucr,12763.44,None,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,-1,5,8,f,2174980,20.85
Simple8B,462524,2879.23,ucr,7340.07,None,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,-1,5,8,f,2174980,21.27
SIMDBP128,2412316,11523.56,ucr,10686.25,None,/colmajor/uint8-as-uint32/ucr/MALLAT.dat,-1,5,8,f,9878380,24.42
FastPFOR,2457552,1643.45,ucr,11273.74,None,/colmajor/uint8-as-uint32/ucr/MALLAT.dat,-1,5,8,f,9878380,24.88
Simple8B,2376940,2769.61,ucr,6220.53,None,/colmajor/uint8-as-uint32/ucr/MALLAT.dat,-1,5,8,f,9878380,24.06
SIMDBP128,51392,5022.35,ucr,14777.32,None,/colmajor/uint8-as-uint32/ucr/Lighting2.dat,-1,5,8,f,310708,16.54
FastPFOR,50188,1120.04,ucr,10230.42,None,/colmajor/uint8-as-uint32/ucr/Lighting2.dat,-1,5,8,f,310708,16.15
Simple8B,45708,2321.89,ucr,5115.12,None,/colmajor/uint8-as-uint32/ucr/Lighting2.dat,-1,5,8,f,310708,14.71
SIMDBP128,150856,7023.42,ucr,12074.41,None,/colmajor/uint8-as-uint32/ucr/SwedishLeaf.dat,-1,5,8,f,598480,25.21
FastPFOR,150896,1659.92,ucr,8016.93,None,/colmajor/uint8-as-uint32/ucr/SwedishLeaf.dat,-1,5,8,f,598480,25.21
Simple8B,163300,1321.93,ucr,2832.44,None,/colmajor/uint8-as-uint32/ucr/SwedishLeaf.dat,-1,5,8,f,598480,27.29
SIMDBP128,2262856,6334.87,ucr,12623.5,None,/colmajor/uint8-as-uint32/ucr/FordB.dat,-1,5,8,f,8980900,25.2
FastPFOR,2263396,2547.78,ucr,12253.22,None,/colmajor/uint8-as-uint32/ucr/FordB.dat,-1,5,8,f,8980900,25.2
Simple8B,2529020,1999.44,ucr,5399.88,None,/colmajor/uint8-as-uint32/ucr/FordB.dat,-1,5,8,f,8980900,28.16
SIMDBP128,327252,10355.27,ucr,16326.47,None,/colmajor/uint8-as-uint32/ucr/LargeKitchenAppliances.dat,-1,5,8,f,2174980,15.05
FastPFOR,309904,1228.32,ucr,12144.48,None,/colmajor/uint8-as-uint32/ucr/LargeKitchenAppliances.dat,-1,5,8,f,2174980,14.25
Simple8B,303644,3539.49,ucr,6493.68,None,/colmajor/uint8-as-uint32/ucr/LargeKitchenAppliances.dat,-1,5,8,f,2174980,13.96
SIMDBP128,32068,3884.84,ucr,5034.9,None,/colmajor/uint8-as-uint32/ucr/ItalyPowerDemand.dat,-1,5,8,f,127116,25.23
FastPFOR,32068,967.36,ucr,4839.2,None,/colmajor/uint8-as-uint32/ucr/ItalyPowerDemand.dat,-1,5,8,f,127116,25.23
Simple8B,34996,882.46,ucr,2515.65,None,/colmajor/uint8-as-uint32/ucr/ItalyPowerDemand.dat,-1,5,8,f,127116,27.53
SIMDBP128,28560,8293.07,ucr,14176.62,None,/colmajor/uint8-as-uint32/ucr/Beef.dat,-1,5,8,f,113980,25.06
FastPFOR,28620,1627.29,ucr,14823.77,None,/colmajor/uint8-as-uint32/ucr/Beef.dat,-1,5,8,f,113980,25.11
Simple8B,29876,2154.47,ucr,6331.87,None,/colmajor/uint8-as-uint32/ucr/Beef.dat,-1,5,8,f,113980,26.21
SIMDBP128,26588,10342.76,ucr,11841.07,None,/colmajor/uint8-as-uint32/ucr/Wine.dat,-1,5,8,f,106096,25.06
FastPFOR,26784,1174.6,ucr,5785.27,None,/colmajor/uint8-as-uint32/ucr/Wine.dat,-1,5,8,f,106096,25.25
Simple8B,27124,1052.86,ucr,2878.27,None,/colmajor/uint8-as-uint32/ucr/Wine.dat,-1,5,8,f,106096,25.57
SIMDBP128,451508,10448.85,ucr,18344.97,None,/colmajor/uint8-as-uint32/ucr/SmallKitchenAppliances.dat,-1,5,8,f,2174980,20.76
FastPFOR,419096,1663.96,ucr,12457.29,None,/colmajor/uint8-as-uint32/ucr/SmallKitchenAppliances.dat,-1,5,8,f,2174980,19.27
Simple8B,441220,3305.39,ucr,7709.55,None,/colmajor/uint8-as-uint32/ucr/SmallKitchenAppliances.dat,-1,5,8,f,2174980,20.29
SIMDBP128,306540,14159.72,ucr,15077.92,None,/colmajor/uint8-as-uint32/ucr/FaceAll.dat,-1,5,8,f,1223980,25.04
FastPFOR,280720,1140.9,ucr,13253.85,None,/colmajor/uint8-as-uint32/ucr/FaceAll.dat,-1,5,8,f,1223980,22.94
Simple8B,311508,2495.92,ucr,5979.3,None,/colmajor/uint8-as-uint32/ucr/FaceAll.dat,-1,5,8,f,1223980,25.45
SIMDBP128,51044,5630.89,ucr,14521.77,None,/colmajor/uint8-as-uint32/ucr/Meat.dat,-1,5,8,f,217420,23.48
FastPFOR,52544,1256.7,ucr,10363.2,None,/colmajor/uint8-as-uint32/ucr/Meat.dat,-1,5,8,f,217420,24.17
Simple8B,51828,2058.94,ucr,5970.62,None,/colmajor/uint8-as-uint32/ucr/Meat.dat,-1,5,8,f,217420,23.84
SIMDBP128,2504572,8979.5,ucr,11931.56,None,/colmajor/uint8-as-uint32/ucr/FordA.dat,-1,5,8,f,9940400,25.2
FastPFOR,2505164,2577.08,ucr,11821.61,None,/colmajor/uint8-as-uint32/ucr/FordA.dat,-1,5,8,f,9940400,25.2
Simple8B,2734204,2363.05,ucr,4889.06,None,/colmajor/uint8-as-uint32/ucr/FordA.dat,-1,5,8,f,9940400,27.51
SIMDBP128,546052,11077.73,ucr,8681.13,None,/colmajor/uint8-as-uint32/ucr/RefrigerationDevices.dat,-1,5,8,f,2174980,25.11
FastPFOR,544872,1651.41,ucr,14577.52,None,/colmajor/uint8-as-uint32/ucr/RefrigerationDevices.dat,-1,5,8,f,2174980,25.05
Simple8B,582148,2201.27,ucr,4902.87,None,/colmajor/uint8-as-uint32/ucr/RefrigerationDevices.dat,-1,5,8,f,2174980,26.77
SIMDBP128,101996,11357.68,ucr,15048.04,None,/colmajor/uint8-as-uint32/ucr/TwoLeadECG.dat,-1,5,8,f,404356,25.22
FastPFOR,102108,1463.27,ucr,16593.05,None,/colmajor/uint8-as-uint32/ucr/TwoLeadECG.dat,-1,5,8,f,404356,25.25
Simple8B,114612,2953.96,ucr,6952.6,None,/colmajor/uint8-as-uint32/ucr/TwoLeadECG.dat,-1,5,8,f,404356,28.34
SIMDBP128,32208,11382.61,ucr,17017.76,None,/colmajor/uint8-as-uint32/ucr/OliveOil.dat,-1,5,8,f,137980,23.34
FastPFOR,32684,1713.72,ucr,11939.08,None,/colmajor/uint8-as-uint32/ucr/OliveOil.dat,-1,5,8,f,137980,23.69
Simple8B,26876,1822.89,ucr,4648.3,None,/colmajor/uint8-as-uint32/ucr/OliveOil.dat,-1,5,8,f,137980,19.48
SIMDBP128,20392,6898.38,ucr,14174.42,None,/colmajor/uint8-as-uint32/ucr/ECG200.dat,-1,5,8,f,80780,25.24
FastPFOR,20432,2073.89,ucr,5462.54,None,/colmajor/uint8-as-uint32/ucr/ECG200.dat,-1,5,8,f,80780,25.29
Simple8B,21300,1162.42,ucr,2542.17,None,/colmajor/uint8-as-uint32/ucr/ECG200.dat,-1,5,8,f,80780,26.37
SIMDBP128,39348,4172.82,ucr,7331.27,None,/colmajor/uint8-as-uint32/ucr/synthetic_control.dat,-1,5,8,f,155980,25.23
FastPFOR,39356,1163.14,ucr,5233.0,None,/colmajor/uint8-as-uint32/ucr/synthetic_control.dat,-1,5,8,f,155980,25.23
Simple8B,43540,883.42,ucr,2692.89,None,/colmajor/uint8-as-uint32/ucr/synthetic_control.dat,-1,5,8,f,155980,27.91
SIMDBP128,406320,6111.12,ucr,8759.83,None,/colmajor/uint8-as-uint32/ucr/Symbols.dat,-1,5,8,f,1644220,24.71
FastPFOR,413656,1569.9,ucr,17594.46,None,/colmajor/uint8-as-uint32/ucr/Symbols.dat,-1,5,8,f,1644220,25.16
Simple8B,431292,3130.14,ucr,8393.16,None,/colmajor/uint8-as-uint32/ucr/Symbols.dat,-1,5,8,f,1644220,26.23
SIMDBP128,69188,5982.86,ucr,7378.19,None,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurfaceII.dat,-1,5,8,f,274380,25.22
FastPFOR,69240,1569.23,ucr,5965.56,None,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurfaceII.dat,-1,5,8,f,274380,25.24
Simple8B,76324,917.12,ucr,2665.72,None,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurfaceII.dat,-1,5,8,f,274380,27.82
SIMDBP128,624608,9978.93,ucr,14323.36,None,/colmajor/uint8-as-uint32/ucr/ShapesAll.dat,-1,5,8,f,2481580,25.17
FastPFOR,625464,1569.01,ucr,14859.05,None,/colmajor/uint8-as-uint32/ucr/ShapesAll.dat,-1,5,8,f,2481580,25.2
Simple8B,673036,2575.81,ucr,5704.64,None,/colmajor/uint8-as-uint32/ucr/ShapesAll.dat,-1,5,8,f,2481580,27.12
SIMDBP128,1112388,11718.35,ucr,14172.5,None,/colmajor/uint8-as-uint32/ucr/InlineSkate.dat,-1,5,8,f,4906180,22.67
FastPFOR,1127372,1916.64,ucr,17351.59,None,/colmajor/uint8-as-uint32/ucr/InlineSkate.dat,-1,5,8,f,4906180,22.98
Simple8B,1218828,3247.71,ucr,7514.7,None,/colmajor/uint8-as-uint32/ucr/InlineSkate.dat,-1,5,8,f,4906180,24.84
SIMDBP128,670224,10319.76,ucr,14414.81,None,/colmajor/uint8-as-uint32/ucr/Two_Patterns.dat,-1,5,8,f,2659980,25.2
FastPFOR,670460,2099.81,ucr,12857.04,None,/colmajor/uint8-as-uint32/ucr/Two_Patterns.dat,-1,5,8,f,2659980,25.21
Simple8B,736444,1443.95,ucr,5975.6,None,/colmajor/uint8-as-uint32/ucr/Two_Patterns.dat,-1,5,8,f,2659980,27.69
SIMDBP128,742180,10630.93,ucr,14396.42,None,/colmajor/uint8-as-uint32/ucr/ChlorineConcentration.dat,-1,5,8,f,2945968,25.19
FastPFOR,742524,1937.42,ucr,12203.27,None,/colmajor/uint8-as-uint32/ucr/ChlorineConcentration.dat,-1,5,8,f,2945968,25.2
Simple8B,816428,2052.84,ucr,4668.17,None,/colmajor/uint8-as-uint32/ucr/ChlorineConcentration.dat,-1,5,8,f,2945968,27.71
SIMDBP128,36524,9019.18,ucr,13720.42,None,/colmajor/uint8-as-uint32/ucr/Lighting7.dat,-1,5,8,f,185308,19.71
FastPFOR,34916,595.85,ucr,6253.43,None,/colmajor/uint8-as-uint32/ucr/Lighting7.dat,-1,5,8,f,185308,18.84
Simple8B,32188,1107.2,ucr,3529.95,None,/colmajor/uint8-as-uint32/ucr/Lighting7.dat,-1,5,8,f,185308,17.37
SIMDBP128,76376,5376.45,ucr,13298.8,None,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineCorrect.dat,-1,5,8,f,302920,25.21
FastPFOR,76440,1628.87,ucr,13657.96,None,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineCorrect.dat,-1,5,8,f,302920,25.23
Simple8B,79644,1277.47,ucr,6173.6,None,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineCorrect.dat,-1,5,8,f,302920,26.29
SIMDBP128,20936,8528.41,ucr,11921.58,None,/colmajor/uint8-as-uint32/ucr/BirdChicken.dat,-1,5,8,f,82700,25.32
FastPFOR,20972,923.28,ucr,12264.57,None,/colmajor/uint8-as-uint32/ucr/BirdChicken.dat,-1,5,8,f,82700,25.36
Simple8B,22484,2297.48,ucr,6082.67,None,/colmajor/uint8-as-uint32/ucr/BirdChicken.dat,-1,5,8,f,82700,27.19
SIMDBP128,124696,11038.38,ucr,17367.22,None,/colmajor/uint8-as-uint32/ucr/CBF.dat,-1,5,8,f,494740,25.2
FastPFOR,124712,1909.35,ucr,15280.13,None,/colmajor/uint8-as-uint32/ucr/CBF.dat,-1,5,8,f,494740,25.21
Simple8B,134420,2350.25,ucr,6110.09,None,/colmajor/uint8-as-uint32/ucr/CBF.dat,-1,5,8,f,494740,27.17
SIMDBP128,46232,14656.85,ucr,15101.37,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineAgeGroup.dat,-1,5,8,f,183240,25.23
FastPFOR,46292,2530.0,ucr,14275.48,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineAgeGroup.dat,-1,5,8,f,183240,25.26
Simple8B,48620,1487.07,ucr,6295.39,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineAgeGroup.dat,-1,5,8,f,183240,26.53
SIMDBP128,46232,12048.13,ucr,13471.55,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxTW.dat,-1,5,8,f,183240,25.23
FastPFOR,46300,1467.45,ucr,14564.82,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxTW.dat,-1,5,8,f,183240,25.27
Simple8B,48428,2148.49,ucr,5618.62,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxTW.dat,-1,5,8,f,183240,26.43
SIMDBP128,2214620,8122.06,ucr,13579.02,None,/colmajor/uint8-as-uint32/ucr/CinC_ECG_torso.dat,-1,5,8,f,9337900,23.72
FastPFOR,2238624,2044.78,ucr,12802.31,None,/colmajor/uint8-as-uint32/ucr/CinC_ECG_torso.dat,-1,5,8,f,9337900,23.97
Simple8B,2428612,3881.23,ucr,7560.1,None,/colmajor/uint8-as-uint32/ucr/CinC_ECG_torso.dat,-1,5,8,f,9337900,26.01
SIMDBP128,730680,11651.98,ucr,13899.84,None,/colmajor/uint8-as-uint32/ucr/ECG5000.dat,-1,5,8,f,2899980,25.2
FastPFOR,730864,1817.84,ucr,14184.79,None,/colmajor/uint8-as-uint32/ucr/ECG5000.dat,-1,5,8,f,2899980,25.2
Simple8B,788364,2314.55,ucr,4775.79,None,/colmajor/uint8-as-uint32/ucr/ECG5000.dat,-1,5,8,f,2899980,27.19
SIMDBP128,51888,11220.34,ucr,11238.12,None,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineAgeGroup.dat,-1,5,8,f,205680,25.23
FastPFOR,51928,1814.17,ucr,12646.34,None,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineAgeGroup.dat,-1,5,8,f,205680,25.25
Simple8B,53372,1857.14,ucr,5142.13,None,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineAgeGroup.dat,-1,5,8,f,205680,25.95
SIMDBP128,54528,10098.82,ucr,20063.52,None,/colmajor/uint8-as-uint32/ucr/ArrowHead.dat,-1,5,8,f,216044,25.24
FastPFOR,54588,2074.53,ucr,19551.49,None,/colmajor/uint8-as-uint32/ucr/ArrowHead.dat,-1,5,8,f,216044,25.27
Simple8B,57204,3103.63,ucr,7148.8,None,/colmajor/uint8-as-uint32/ucr/ArrowHead.dat,-1,5,8,f,216044,26.48
SIMDBP128,70136,8003.55,ucr,15076.64,None,/colmajor/uint8-as-uint32/ucr/Car.dat,-1,5,8,f,279340,25.11
FastPFOR,70512,1662.45,ucr,16646.21,None,/colmajor/uint8-as-uint32/ucr/Car.dat,-1,5,8,f,279340,25.24
Simple8B,73444,2945.66,ucr,6947.89,None,/colmajor/uint8-as-uint32/ucr/Car.dat,-1,5,8,f,279340,26.29
SIMDBP128,4122720,8744.39,ucr,12712.37,None,/colmajor/uint8-as-uint32/ucr/UWaveGestureLibraryAll.dat,-1,5,8,f,17016380,24.23
FastPFOR,4213532,1971.35,ucr,13452.33,None,/colmajor/uint8-as-uint32/ucr/UWaveGestureLibraryAll.dat,-1,5,8,f,17016380,24.76
Simple8B,4387700,3660.72,ucr,8374.6,None,/colmajor/uint8-as-uint32/ucr/UWaveGestureLibraryAll.dat,-1,5,8,f,17016380,25.79
SIMDBP128,305632,12445.78,ucr,15140.58,None,/colmajor/uint8-as-uint32/ucr/FacesUCR.dat,-1,5,8,f,1223980,24.97
FastPFOR,280744,745.65,ucr,7303.68,None,/colmajor/uint8-as-uint32/ucr/FacesUCR.dat,-1,5,8,f,1223980,22.94
Simple8B,311468,1484.49,ucr,5633.79,None,/colmajor/uint8-as-uint32/ucr/FacesUCR.dat,-1,5,8,f,1223980,25.45
SIMDBP128,3651680,10962.58,ucr,10551.74,None,/colmajor/uint8-as-uint32/ucr/HandOutlines.dat,-1,5,8,f,14872700,24.55
FastPFOR,3684852,1949.51,ucr,12137.49,None,/colmajor/uint8-as-uint32/ucr/HandOutlines.dat,-1,5,8,f,14872700,24.78
Simple8B,4071004,3811.5,ucr,7835.99,None,/colmajor/uint8-as-uint32/ucr/HandOutlines.dat,-1,5,8,f,14872700,27.37
SIMDBP128,20916,4555.22,ucr,10893.04,None,/colmajor/uint8-as-uint32/ucr/BeetleFly.dat,-1,5,8,f,82700,25.29
FastPFOR,20928,1630.42,ucr,10521.63,None,/colmajor/uint8-as-uint32/ucr/BeetleFly.dat,-1,5,8,f,82700,25.31
Simple8B,22204,1752.49,ucr,4577.15,None,/colmajor/uint8-as-uint32/ucr/BeetleFly.dat,-1,5,8,f,82700,26.85
SIMDBP128,39944,6854.02,ucr,13706.26,None,/colmajor/uint8-as-uint32/ucr/FaceFour.dat,-1,5,8,f,159020,25.12
FastPFOR,40032,873.98,ucr,8579.91,None,/colmajor/uint8-as-uint32/ucr/FaceFour.dat,-1,5,8,f,159020,25.17
Simple8B,41740,1564.1,ucr,3833.47,None,/colmajor/uint8-as-uint32/ucr/FaceFour.dat,-1,5,8,f,159020,26.25
SIMDBP128,259872,7773.82,ucr,8705.71,None,/colmajor/uint8-as-uint32/ucr/Computers.dat,-1,5,8,f,1449980,17.92
FastPFOR,260104,1236.04,ucr,15210.27,None,/colmajor/uint8-as-uint32/ucr/Computers.dat,-1,5,8,f,1449980,17.94
Simple8B,258572,4085.24,ucr,10840.73,None,/colmajor/uint8-as-uint32/ucr/Computers.dat,-1,5,8,f,1449980,17.83
SIMDBP128,53040,10269.13,ucr,13216.5,None,/colmajor/uint8-as-uint32/ucr/Trace.dat,-1,5,8,f,223980,23.68
FastPFOR,51820,723.08,ucr,6997.84,None,/colmajor/uint8-as-uint32/ucr/Trace.dat,-1,5,8,f,223980,23.14
Simple8B,53748,1106.92,ucr,3736.99,None,/colmajor/uint8-as-uint32/ucr/Trace.dat,-1,5,8,f,223980,24.0
SIMDBP128,117188,5188.36,ucr,7315.94,None,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,-1,5,8,f,474636,24.69
FastPFOR,109280,752.9,ucr,7622.1,None,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,-1,5,8,f,474636,23.02
Simple8B,107972,1360.26,ucr,3089.45,None,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,-1,5,8,f,474636,22.75
SIMDBP128,227720,7421.06,ucr,18538.96,None,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,-1,5,8,f,903700,25.2
FastPFOR,227808,1780.11,ucr,12394.73,None,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,-1,5,8,f,903700,25.21
Simple8B,239164,2045.68,ucr,6576.52,None,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,-1,5,8,f,903700,26.46
SIMDBP128,142496,7445.18,ucr,8250.51,None,/colmajor/uint8-as-uint32/ucr/Adiac.dat,-1,5,8,f,565424,25.2
FastPFOR,142536,1654.19,ucr,7996.49,None,/colmajor/uint8-as-uint32/ucr/Adiac.dat,-1,5,8,f,565424,25.21
Simple8B,145580,1452.66,ucr,3871.73,None,/colmajor/uint8-as-uint32/ucr/Adiac.dat,-1,5,8,f,565424,25.75
SIMDBP128,539172,8213.17,ucr,13318.6,None,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,-1,5,8,f,2296780,23.48
FastPFOR,518628,1516.71,ucr,10753.32,None,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,-1,5,8,f,2296780,22.58
Simple8B,458268,3064.89,ucr,5370.22,None,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,-1,5,8,f,2296780,19.95
SIMDBP128,222348,13087.25,ucr,16059.84,None,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,-1,5,8,f,953328,23.32
FastPFOR,188292,696.24,ucr,6759.56,None,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,-1,5,8,f,953328,19.75
Simple8B,218196,1466.73,ucr,6050.61,None,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,-1,5,8,f,953328,22.89
SIMDBP128,1307180,8820.59,ucr,12271.87,None,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,-1,5,8,f,5731820,22.81
FastPFOR,1306584,1777.35,ucr,14587.05,None,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,-1,5,8,f,5731820,22.8
Simple8B,1409108,3676.21,ucr,8023.85,None,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,-1,5,8,f,5731820,24.58
