,Nbits,Algorithm,Filename,Ratio
3578,8,Memcpy,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,100.0
3581,8,Simple8B,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,25.48
3580,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,25.21
3579,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,25.21
3705,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineAgeGroup.dat,25.23
3707,8,Simple8B,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineAgeGroup.dat,26.53
3706,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineAgeGroup.dat,25.26
3597,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,25.22
3598,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,25.24
3599,8,Simple8B,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,26.49
3709,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/DistalPhalanxTW.dat,25.27
3710,8,Simple8B,/colmajor/uint8-as-uint32/ucr/DistalPhalanxTW.dat,26.43
3708,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/DistalPhalanxTW.dat,25.23
3669,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ECG200.dat,25.24
3670,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ECG200.dat,25.29
3671,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ECG200.dat,26.37
3716,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ECG5000.dat,27.19
3715,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ECG5000.dat,25.2
3714,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ECG5000.dat,25.2
3768,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,25.22
3770,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,28.57
3769,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ECGFiveDays.dat,25.25
3760,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,19.75
3761,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,22.89
3759,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Earthquakes.dat,23.32
3606,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,25.19
3607,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,24.59
3608,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,26.85
3789,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/FISH.dat,18.86
3790,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/FISH.dat,18.96
3791,8,Simple8B,/colmajor/uint8-as-uint32/ucr/FISH.dat,17.6
3651,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/FaceAll.dat,25.04
3652,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/FaceAll.dat,22.94
3653,8,Simple8B,/colmajor/uint8-as-uint32/ucr/FaceAll.dat,25.45
3738,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/FaceFour.dat,25.12
3739,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/FaceFour.dat,25.17
3740,8,Simple8B,/colmajor/uint8-as-uint32/ucr/FaceFour.dat,26.25
3730,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/FacesUCR.dat,22.94
3729,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/FacesUCR.dat,24.97
3731,8,Simple8B,/colmajor/uint8-as-uint32/ucr/FacesUCR.dat,25.45
3657,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/FordA.dat,25.2
3659,8,Simple8B,/colmajor/uint8-as-uint32/ucr/FordA.dat,27.51
3658,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/FordA.dat,25.2
3634,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/FordB.dat,25.2
3635,8,Simple8B,/colmajor/uint8-as-uint32/ucr/FordB.dat,28.16
3633,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/FordB.dat,25.2
3782,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Gun_Point.dat,26.5
3781,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Gun_Point.dat,25.22
3780,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Gun_Point.dat,25.22
3798,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Ham.dat,22.62
3799,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Ham.dat,22.0
3800,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Ham.dat,21.05
3733,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/HandOutlines.dat,24.78
3732,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/HandOutlines.dat,24.55
3734,8,Simple8B,/colmajor/uint8-as-uint32/ucr/HandOutlines.dat,27.37
3615,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Haptics.dat,25.2
3617,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Haptics.dat,28.57
3616,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Haptics.dat,25.2
3811,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Herring.dat,25.23
3812,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Herring.dat,26.28
3810,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Herring.dat,25.05
3686,8,Simple8B,/colmajor/uint8-as-uint32/ucr/InlineSkate.dat,24.84
3685,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/InlineSkate.dat,22.98
3684,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/InlineSkate.dat,22.67
3756,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,23.48
3757,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,22.58
3758,8,Simple8B,/colmajor/uint8-as-uint32/ucr/InsectWingbeatSound.dat,19.95
3641,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ItalyPowerDemand.dat,27.53
3640,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ItalyPowerDemand.dat,25.23
3639,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ItalyPowerDemand.dat,25.23
3636,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/LargeKitchenAppliances.dat,15.05
3638,8,Simple8B,/colmajor/uint8-as-uint32/ucr/LargeKitchenAppliances.dat,13.96
3637,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/LargeKitchenAppliances.dat,14.25
3627,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Lighting2.dat,16.54
3628,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Lighting2.dat,16.15
3629,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Lighting2.dat,14.71
3693,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Lighting7.dat,19.71
3695,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Lighting7.dat,17.37
3694,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Lighting7.dat,18.84
3625,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/MALLAT.dat,24.88
3626,8,Simple8B,/colmajor/uint8-as-uint32/ucr/MALLAT.dat,24.06
3624,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/MALLAT.dat,24.42
3656,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Meat.dat,23.84
3655,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Meat.dat,24.17
3654,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Meat.dat,23.48
3748,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,23.02
3749,8,Simple8B,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,22.75
3747,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/MedicalImages.dat,24.69
3806,8,Simple8B,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineAgeGroup.dat,26.41
3805,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineAgeGroup.dat,25.26
3804,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineAgeGroup.dat,25.22
3698,8,Simple8B,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineCorrect.dat,26.29
3697,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineCorrect.dat,25.23
3696,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxOutlineCorrect.dat,25.21
3815,8,Simple8B,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxTW.dat,26.31
3813,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxTW.dat,25.2
3814,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/MiddlePhalanxTW.dat,25.24
3583,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,25.21
3584,8,Simple8B,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,27.31
3582,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,25.21
3766,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,25.11
3765,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,24.73
3767,8,Simple8B,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax1.dat,26.9
3796,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax2.dat,24.65
3795,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax2.dat,24.3
3797,8,Simple8B,/colmajor/uint8-as-uint32/ucr/NonInvasiveFatalECG_Thorax2.dat,26.28
3777,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/OSULeaf.dat,25.2
3778,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/OSULeaf.dat,25.22
3779,8,Simple8B,/colmajor/uint8-as-uint32/ucr/OSULeaf.dat,26.81
3668,8,Simple8B,/colmajor/uint8-as-uint32/ucr/OliveOil.dat,19.48
3666,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/OliveOil.dat,23.34
3667,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/OliveOil.dat,23.69
3752,8,Simple8B,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,26.46
3750,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,25.2
3751,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/PhalangesOutlinesCorrect.dat,25.21
3801,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Phoneme.dat,25.2
3803,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Phoneme.dat,28.16
3802,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Phoneme.dat,25.2
3596,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Plane.dat,26.46
3595,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Plane.dat,25.23
3594,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Plane.dat,25.23
3719,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineAgeGroup.dat,25.95
3718,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineAgeGroup.dat,25.25
3717,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineAgeGroup.dat,25.23
3591,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,25.21
3592,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,25.23
3593,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,25.76
3828,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,25.23
3830,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,25.78
3829,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxTW.dat,25.25
3661,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/RefrigerationDevices.dat,25.05
3662,8,Simple8B,/colmajor/uint8-as-uint32/ucr/RefrigerationDevices.dat,26.77
3660,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/RefrigerationDevices.dat,25.11
3622,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,20.85
3621,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,20.6
3623,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,21.27
3823,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,25.22
3824,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,28.51
3822,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ShapeletSim.dat,25.2
3681,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ShapesAll.dat,25.17
3682,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ShapesAll.dat,25.2
3683,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ShapesAll.dat,27.12
3650,8,Simple8B,/colmajor/uint8-as-uint32/ucr/SmallKitchenAppliances.dat,20.29
3649,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/SmallKitchenAppliances.dat,19.27
3648,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/SmallKitchenAppliances.dat,20.76
3784,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurface.dat,25.27
3783,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurface.dat,25.24
3785,8,Simple8B,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurface.dat,27.9
3678,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurfaceII.dat,25.22
3679,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurfaceII.dat,25.24
3680,8,Simple8B,/colmajor/uint8-as-uint32/ucr/SonyAIBORobotSurfaceII.dat,27.82
3620,8,Simple8B,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,23.89
3618,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,22.26
3619,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,22.77
3833,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,24.72
3832,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,25.2
3831,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Strawberry.dat,24.23
3631,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/SwedishLeaf.dat,25.21
3632,8,Simple8B,/colmajor/uint8-as-uint32/ucr/SwedishLeaf.dat,27.29
3630,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/SwedishLeaf.dat,25.21
3677,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Symbols.dat,26.23
3676,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Symbols.dat,25.16
3675,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Symbols.dat,24.71
3602,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,28.31
3601,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,25.23
3600,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,25.22
3613,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,25.02
3612,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,24.98
3614,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,25.74
3745,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Trace.dat,23.14
3746,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Trace.dat,24.0
3744,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Trace.dat,23.68
3665,8,Simple8B,/colmajor/uint8-as-uint32/ucr/TwoLeadECG.dat,28.34
3663,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/TwoLeadECG.dat,25.22
3664,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/TwoLeadECG.dat,25.25
3689,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Two_Patterns.dat,27.69
3687,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Two_Patterns.dat,25.2
3688,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Two_Patterns.dat,25.21
3726,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/UWaveGestureLibraryAll.dat,24.23
3728,8,Simple8B,/colmajor/uint8-as-uint32/ucr/UWaveGestureLibraryAll.dat,25.79
3727,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/UWaveGestureLibraryAll.dat,24.76
3647,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Wine.dat,25.57
3646,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Wine.dat,25.25
3645,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Wine.dat,25.06
3603,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,24.31
3605,8,Simple8B,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,24.11
3604,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,24.57
3590,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Worms.dat,26.96
3589,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Worms.dat,25.01
3588,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Worms.dat,24.84
3788,8,Simple8B,/colmajor/uint8-as-uint32/ucr/WormsTwoClass.dat,26.96
3787,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/WormsTwoClass.dat,25.01
3786,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/WormsTwoClass.dat,24.84
3672,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/synthetic_control.dat,25.23
3674,8,Simple8B,/colmajor/uint8-as-uint32/ucr/synthetic_control.dat,27.91
3673,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/synthetic_control.dat,25.23
3771,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_X.dat,24.7
3772,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_X.dat,25.07
3773,8,Simple8B,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_X.dat,26.41
3762,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,22.81
3763,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,22.8
3764,8,Simple8B,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Y.dat,24.58
3794,8,Simple8B,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Z.dat,26.54
3792,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Z.dat,24.85
3793,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/uWaveGestureLibrary_Z.dat,25.13
3585,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/wafer.dat,22.31
3586,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/wafer.dat,22.0
3587,8,Simple8B,/colmajor/uint8-as-uint32/ucr/wafer.dat,21.85
3775,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/yoga.dat,25.2
3774,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/yoga.dat,25.19
3776,8,Simple8B,/colmajor/uint8-as-uint32/ucr/yoga.dat,26.99
2626,8,Huffman,/colmajor/uint8/ucr/50words.dat,84.14
2620,8,Zstd -1,/colmajor/uint8/ucr/50words.dat,57.39
2621,8,Zstd -9,/colmajor/uint8/ucr/50words.dat,45.21
2622,8,Snappy,/colmajor/uint8/ucr/50words.dat,68.75
2623,8,LZ4,/colmajor/uint8/ucr/50words.dat,71.94
2624,8,Zlib -1,/colmajor/uint8/ucr/50words.dat,54.6
2625,8,Zlib -9,/colmajor/uint8/ucr/50words.dat,48.12
2454,8,Snappy,/colmajor/uint8/ucr/Adiac.dat,79.22
2457,8,Zlib -9,/colmajor/uint8/ucr/Adiac.dat,47.34
2456,8,Zlib -1,/colmajor/uint8/ucr/Adiac.dat,53.65
2455,8,LZ4,/colmajor/uint8/ucr/Adiac.dat,72.84
2458,8,Huffman,/colmajor/uint8/ucr/Adiac.dat,94.42
2452,8,Zstd -1,/colmajor/uint8/ucr/Adiac.dat,59.93
2453,8,Zstd -9,/colmajor/uint8/ucr/Adiac.dat,45.64
2377,8,Snappy,/colmajor/uint8/ucr/ArrowHead.dat,100.01
2378,8,LZ4,/colmajor/uint8/ucr/ArrowHead.dat,93.66
2379,8,Zlib -1,/colmajor/uint8/ucr/ArrowHead.dat,71.92
2380,8,Zlib -9,/colmajor/uint8/ucr/ArrowHead.dat,73.98
2381,8,Huffman,/colmajor/uint8/ucr/ArrowHead.dat,94.6
2376,8,Zstd -9,/colmajor/uint8/ucr/ArrowHead.dat,78.94
2375,8,Zstd -1,/colmajor/uint8/ucr/ArrowHead.dat,93.06
2193,8,Zstd -1,/colmajor/uint8/ucr/Beef.dat,62.22
2194,8,Zstd -9,/colmajor/uint8/ucr/Beef.dat,53.56
2195,8,Snappy,/colmajor/uint8/ucr/Beef.dat,69.75
2196,8,LZ4,/colmajor/uint8/ucr/Beef.dat,72.7
2197,8,Zlib -1,/colmajor/uint8/ucr/Beef.dat,56.99
2198,8,Zlib -9,/colmajor/uint8/ucr/Beef.dat,52.79
2199,8,Huffman,/colmajor/uint8/ucr/Beef.dat,85.89
2411,8,Zstd -9,/colmajor/uint8/ucr/BeetleFly.dat,86.96
2412,8,Snappy,/colmajor/uint8/ucr/BeetleFly.dat,100.03
2413,8,LZ4,/colmajor/uint8/ucr/BeetleFly.dat,95.99
2414,8,Zlib -1,/colmajor/uint8/ucr/BeetleFly.dat,79.63
2415,8,Zlib -9,/colmajor/uint8/ucr/BeetleFly.dat,81.16
2416,8,Huffman,/colmajor/uint8/ucr/BeetleFly.dat,100.04
2410,8,Zstd -1,/colmajor/uint8/ucr/BeetleFly.dat,100.05
2331,8,Zlib -9,/colmajor/uint8/ucr/BirdChicken.dat,66.58
2327,8,Zstd -9,/colmajor/uint8/ucr/BirdChicken.dat,70.26
2328,8,Snappy,/colmajor/uint8/ucr/BirdChicken.dat,100.03
2329,8,LZ4,/colmajor/uint8/ucr/BirdChicken.dat,85.26
2326,8,Zstd -1,/colmajor/uint8/ucr/BirdChicken.dat,85.78
2332,8,Huffman,/colmajor/uint8/ucr/BirdChicken.dat,94.76
2330,8,Zlib -1,/colmajor/uint8/ucr/BirdChicken.dat,67.3
2333,8,Zstd -1,/colmajor/uint8/ucr/CBF.dat,89.31
2334,8,Zstd -9,/colmajor/uint8/ucr/CBF.dat,88.98
2335,8,Snappy,/colmajor/uint8/ucr/CBF.dat,100.01
2336,8,LZ4,/colmajor/uint8/ucr/CBF.dat,100.39
